id,name,complexity_average,complexity_bin,min_age,min_players,max_players,rating_average,bgg_rank,owned_users,mechanic_name,domain_name
1.0,Die Macher,4.32,Very High,14,3,5,7.63,289,7213.0,Dice Rolling,Strategy Games
1.0,Die Macher,4.32,Very High,14,3,5,7.63,289,7213.0,Area Majority / Influence,Strategy Games
1.0,Die Macher,4.32,Very High,14,3,5,7.63,289,7213.0,Alliances,Strategy Games
1.0,Die Macher,4.32,Very High,14,3,5,7.63,289,7213.0,Simultaneous Action Selection,Strategy Games
1.0,Die Macher,4.32,Very High,14,3,5,7.63,289,7213.0,Hand Management,Strategy Games
1.0,Die Macher,4.32,Very High,14,3,5,7.63,289,7213.0,Auction/Bidding,Strategy Games
2.0,Dragonmaster,1.96,Low,12,3,4,6.63,3718,1252.0,Trick-taking,Strategy Games
3.0,Samurai,2.49,Medium,10,2,4,7.45,210,15197.0,Hexagon Grid,Strategy Games
3.0,Samurai,2.49,Medium,10,2,4,7.45,210,15197.0,Area Majority / Influence,Strategy Games
3.0,Samurai,2.49,Medium,10,2,4,7.45,210,15197.0,Hand Management,Strategy Games
3.0,Samurai,2.49,Medium,10,2,4,7.45,210,15197.0,Once-Per-Game Abilities,Strategy Games
3.0,Samurai,2.49,Medium,10,2,4,7.45,210,15197.0,Set Collection,Strategy Games
3.0,Samurai,2.49,Medium,10,2,4,7.45,210,15197.0,Tile Placement,Strategy Games
5.0,Acquire,2.5,Medium,12,2,6,7.34,276,23111.0,Hand Management,Strategy Games
5.0,Acquire,2.5,Medium,12,2,6,7.34,276,23111.0,Ownership,Strategy Games
5.0,Acquire,2.5,Medium,12,2,6,7.34,276,23111.0,Market,Strategy Games
5.0,Acquire,2.5,Medium,12,2,6,7.34,276,23111.0,Stock Holding,Strategy Games
5.0,Acquire,2.5,Medium,12,2,6,7.34,276,23111.0,Square Grid,Strategy Games
5.0,Acquire,2.5,Medium,12,2,6,7.34,276,23111.0,Victory Points as a Resource,Strategy Games
5.0,Acquire,2.5,Medium,12,2,6,7.34,276,23111.0,Tile Placement,Strategy Games
5.0,Acquire,2.5,Medium,12,2,6,7.34,276,23111.0,Investment,Strategy Games
7.0,Cathedral,1.8,Low,8,2,2,6.52,1862,5802.0,Enclosure,Abstract Games
7.0,Cathedral,1.8,Low,8,2,2,6.52,1862,5802.0,Pattern Building,Abstract Games
7.0,Cathedral,1.8,Low,8,2,2,6.52,1862,5802.0,Pattern Recognition,Abstract Games
7.0,Cathedral,1.8,Low,8,2,2,6.52,1862,5802.0,Tile Placement,Abstract Games
9.0,El Caballero,3.18,Very High,13,2,4,6.46,2727,2570.0,Tile Placement,Strategy Games
9.0,El Caballero,3.18,Very High,13,2,4,6.46,2727,2570.0,Area Majority / Influence,Strategy Games
10.0,Elfenland,2.16,Medium,10,2,6,6.71,1035,9802.0,Card Drafting,Family Games
10.0,Elfenland,2.16,Medium,10,2,6,6.71,1035,9802.0,Point to Point Movement,Family Games
10.0,Elfenland,2.16,Medium,10,2,6,6.71,1035,9802.0,Network and Route Building,Family Games
10.0,Elfenland,2.16,Medium,10,2,6,6.71,1035,9802.0,Hand Management,Family Games
11.0,Bohnanza,1.67,Low,13,2,7,7.04,451,56587.0,Hand Management,Family Games
11.0,Bohnanza,1.67,Low,13,2,7,7.04,451,56587.0,Set Collection,Family Games
11.0,Bohnanza,1.67,Low,13,2,7,7.04,451,56587.0,Trading,Family Games
11.0,Bohnanza,1.67,Low,13,2,7,7.04,451,56587.0,Negotiation,Family Games
11.0,Bohnanza,1.67,Low,13,2,7,7.04,451,56587.0,Melding and Splaying,Family Games
12.0,Ra,2.35,Medium,12,2,5,7.47,177,18460.0,Set Collection,Strategy Games
12.0,Ra,2.35,Medium,12,2,5,7.47,177,18460.0,Push Your Luck,Strategy Games
12.0,Ra,2.35,Medium,12,2,5,7.47,177,18460.0,Constrained Bidding,Strategy Games
12.0,Ra,2.35,Medium,12,2,5,7.47,177,18460.0,Closed Economy Auction,Strategy Games
12.0,Ra,2.35,Medium,12,2,5,7.47,177,18460.0,Auction: Once Around,Strategy Games
12.0,Ra,2.35,Medium,12,2,5,7.47,177,18460.0,Auction/Bidding,Strategy Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Network and Route Building,Strategy Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Network and Route Building,Family Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Dice Rolling,Strategy Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Dice Rolling,Family Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Hexagon Grid,Strategy Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Hexagon Grid,Family Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Income,Strategy Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Income,Family Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Modular Board,Strategy Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Modular Board,Family Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Race,Strategy Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Race,Family Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Random Production,Strategy Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Random Production,Family Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Trading,Strategy Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Trading,Family Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Variable Set-up,Strategy Games
13.0,Catan,2.32,Medium,10,3,4,7.15,395,154531.0,Variable Set-up,Family Games
14.0,Basari,1.86,Low,10,3,4,6.76,1891,1866.0,Roll / Spin and Move,Strategy Games
14.0,Basari,1.86,Low,10,3,4,6.76,1891,1866.0,Roll / Spin and Move,Family Games
14.0,Basari,1.86,Low,10,3,4,6.76,1891,1866.0,Set Collection,Strategy Games
14.0,Basari,1.86,Low,10,3,4,6.76,1891,1866.0,Set Collection,Family Games
14.0,Basari,1.86,Low,10,3,4,6.76,1891,1866.0,Simultaneous Action Selection,Strategy Games
14.0,Basari,1.86,Low,10,3,4,6.76,1891,1866.0,Simultaneous Action Selection,Family Games
15.0,Cosmic Encounter,2.37,Medium,12,2,6,6.91,1112,4281.0,Variable Player Powers,Strategy Games
15.0,Cosmic Encounter,2.37,Medium,12,2,6,6.91,1112,4281.0,Variable Player Powers,Thematic Games
15.0,Cosmic Encounter,2.37,Medium,12,2,6,6.91,1112,4281.0,Alliances,Strategy Games
15.0,Cosmic Encounter,2.37,Medium,12,2,6,6.91,1112,4281.0,Alliances,Thematic Games
15.0,Cosmic Encounter,2.37,Medium,12,2,6,6.91,1112,4281.0,Negotiation,Strategy Games
15.0,Cosmic Encounter,2.37,Medium,12,2,6,6.91,1112,4281.0,Negotiation,Thematic Games
15.0,Cosmic Encounter,2.37,Medium,12,2,6,6.91,1112,4281.0,Hand Management,Strategy Games
15.0,Cosmic Encounter,2.37,Medium,12,2,6,6.91,1112,4281.0,Hand Management,Thematic Games
16.0,MarraCash,2.15,Medium,12,3,4,6.81,2429,1156.0,Auction/Bidding,Strategy Games
17.0,Button Men,1.53,Low,10,2,2,6.35,3965,1323.0,Dice Rolling,Customizable Games
17.0,Button Men,1.53,Low,10,2,2,6.35,3965,1323.0,Push Your Luck,Customizable Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Simultaneous Action Selection,Thematic Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Simultaneous Action Selection,Strategy Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Action Queue,Thematic Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Action Queue,Strategy Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Bias,Thematic Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Bias,Strategy Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Grid Movement,Thematic Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Grid Movement,Strategy Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Lose a Turn,Thematic Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Lose a Turn,Strategy Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Modular Board,Thematic Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Modular Board,Strategy Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Programmed Movement,Thematic Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Programmed Movement,Strategy Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Race,Thematic Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Race,Strategy Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Scenario / Mission / Campaign Game,Thematic Games
18.0,RoboRally,2.43,Medium,12,2,8,7.08,440,25878.0,Scenario / Mission / Campaign Game,Strategy Games
19.0,Wacky Wacky West,1.84,Low,9,2,4,6.29,2895,3150.0,Tile Placement,Family Games
19.0,Wacky Wacky West,1.84,Low,9,2,4,6.29,2895,3150.0,Voting,Family Games
20.0,Full Metal Planète,3.16,Very High,12,2,4,7.5,2056,957.0,Dice Rolling,Strategy Games
20.0,Full Metal Planète,3.16,Very High,12,2,4,7.5,2056,957.0,Action Points,Strategy Games
20.0,Full Metal Planète,3.16,Very High,12,2,4,7.5,2056,957.0,Hexagon Grid,Strategy Games
